MAE,RMSE,R2,model,test_season,train_start,train_end,train_rows
0.17562622912242098,0.24486253725579576,0.5437237462936565,Linear,2016,2013,2015,633
0.17555025010744216,0.24473214096671644,0.5442095771528114,Ridge,2016,2013,2015,633
0.17535234456677487,0.25197515079190347,0.5168315098780588,RandomForest,2016,2013,2015,633
0.18321750522263722,0.26270689370732864,0.47479830987466676,XGBoost,2016,2013,2015,633
0.14156774234537403,0.19943786756731455,0.6180629400632479,Linear,2017,2014,2016,642
0.14160153482443788,0.1994499299188809,0.6180167382213321,Ridge,2017,2014,2016,642
0.15223381258718438,0.21642800039749727,0.550216571341668,RandomForest,2017,2014,2016,642
0.16165147475157843,0.22628658185861356,0.5083068461362659,XGBoost,2017,2014,2016,642
0.1632100497801989,0.24928806076441395,0.5372821692991943,Linear,2018,2015,2017,637
0.1631655305482905,0.24923266053366594,0.5374878095217384,Ridge,2018,2015,2017,637
0.16851770005282146,0.25606311945919485,0.5117892469470217,RandomForest,2018,2015,2017,637
0.17205311314462157,0.2693340766307537,0.4598730017156033,XGBoost,2018,2015,2017,637
